id,label,labeled_by,confidence
AH 3.4,votive,claude_reasoning,high
AS 1.40,funerary,claude_reasoning,high
AS 2.1,ownership,claude_reasoning,medium
AS 5.1,funerary,claude_reasoning,medium
AT 1.105,funerary,claude_reasoning,high
AT 1.108,funerary,claude_reasoning,high
AT 1.15,funerary,claude_reasoning,high
AT 1.171,funerary,claude_reasoning,high
AT 1.34,funerary,claude_reasoning,high
AT 1.46,funerary,claude_reasoning,high
AT 1.47,funerary,claude_reasoning,high
AV 6.1,ownership,claude_reasoning,high
AV 6.9,ownership,claude_reasoning,high
Af 3.1,ownership,claude_reasoning,medium
Ar 1.3,funerary,claude_reasoning,medium
Ar 4.3,dedicatory,claude_reasoning,high
At 1.100,funerary,claude_reasoning,high
At 1.111,funerary,claude_reasoning,high
At 1.172,funerary,claude_reasoning,high
Cl 1.1006,funerary,claude_reasoning,high
Cl 1.1134,funerary,claude_reasoning,high
Cl 1.147,funerary,claude_reasoning,high
Cl 1.1502,funerary,claude_reasoning,high
Cl 1.1645,funerary,claude_reasoning,high
Cl 1.1807,funerary,claude_reasoning,high
Cl 1.1885,funerary,claude_reasoning,high
Cl 1.2050,funerary,claude_reasoning,high
Cl 1.2261,funerary,claude_reasoning,high
Cl 1.2513,funerary,claude_reasoning,high
Cl 1.314,funerary,claude_reasoning,high
Cl 1.324,funerary,claude_reasoning,high
Cl 1.373,funerary,claude_reasoning,high
Cm 2.13,ownership,claude_reasoning,high
Cm 2.32,ownership,claude_reasoning,high
Cm 2.46,ownership,claude_reasoning,high
Cm 2.65,ownership,claude_reasoning,high
Co 1.3,funerary,claude_reasoning,high
Co 3.6,votive,claude_reasoning,high
Co 3.7,dedicatory,claude_reasoning,high
Co 4.1,dedicatory,claude_reasoning,high
Cr 1.10,funerary,claude_reasoning,high
Cr 1.141,funerary,claude_reasoning,high
Cr 1.5,funerary,claude_reasoning,high
Cr 1.6,funerary,claude_reasoning,high
Cr 2.15,ownership,claude_reasoning,high
Cr 2.18,ownership,claude_reasoning,high
Cr 2.2,ownership,claude_reasoning,high
Cr 2.20,ownership,claude_reasoning,high
Cr 2.27,ownership,claude_reasoning,high
Cr 2.33,ownership,claude_reasoning,high
Cr 2.42,ownership,claude_reasoning,high
Cr 2.9,ownership,claude_reasoning,high
Cr 3.10,ownership,claude_reasoning,high
Cr 3.11,ownership,claude_reasoning,high
Cr 3.12,ownership,claude_reasoning,high
Cr 3.14,ownership,claude_reasoning,high
Cr 3.17,dedicatory,claude_reasoning,medium
Cr 3.18,ownership,claude_reasoning,high
Cr 3.20,ownership,claude_reasoning,high
Cr 3.7,ownership,claude_reasoning,high
Cr 3.9,ownership,claude_reasoning,high
Cr 5.2,funerary,claude_reasoning,high
Cr 5.3,funerary,claude_reasoning,high
Cr 5.4,funerary,claude_reasoning,high
ETP 106,ownership,claude_reasoning,high
ETP 110,ownership,claude_reasoning,high
ETP 112,ownership,claude_reasoning,high
ETP 118,ownership,claude_reasoning,high
ETP 128,ownership,claude_reasoning,high
ETP 15,ownership,claude_reasoning,high
ETP 181,funerary,claude_reasoning,high
ETP 186,ownership,claude_reasoning,high
ETP 189,dedicatory,claude_reasoning,high
ETP 192,funerary,claude_reasoning,high
ETP 196,ownership,claude_reasoning,high
ETP 209,ownership,claude_reasoning,high
ETP 213,funerary,claude_reasoning,high
ETP 214,funerary,claude_reasoning,high
ETP 230,funerary,claude_reasoning,high
ETP 238,dedicatory,claude_reasoning,high
ETP 239,votive,claude_reasoning,high
ETP 240,funerary,claude_reasoning,high
ETP 251,dedicatory,claude_reasoning,high
ETP 253,dedicatory,claude_reasoning,high
ETP 269,ownership,claude_reasoning,medium
ETP 279,dedicatory,claude_reasoning,high
ETP 28,ownership,claude_reasoning,high
ETP 284,ownership,claude_reasoning,high
ETP 286,boundary,claude_reasoning,high
ETP 287,funerary,claude_reasoning,high
ETP 289,ownership,claude_reasoning,high
ETP 29,dedicatory,claude_reasoning,medium
ETP 303,ownership,claude_reasoning,high
ETP 304,ownership,claude_reasoning,high
ETP 323,ownership,claude_reasoning,high
ETP 325,ownership,claude_reasoning,high
ETP 329,dedicatory,claude_reasoning,high
ETP 331,ownership,claude_reasoning,high
ETP 332,dedicatory,claude_reasoning,high
ETP 333,funerary,claude_reasoning,medium
ETP 335,ownership,claude_reasoning,high
ETP 339,dedicatory,claude_reasoning,high
ETP 340,votive,claude_reasoning,high
ETP 343,ownership,claude_reasoning,high
ETP 344,ownership,claude_reasoning,high
ETP 352,dedicatory,claude_reasoning,high
ETP 353,ownership,claude_reasoning,high
ETP 362,ownership,claude_reasoning,high
ETP 43,funerary,claude_reasoning,high
ETP 83,ownership,claude_reasoning,medium
Fa 3.1,ownership,claude_reasoning,medium
Fa 6.3,ownership,claude_reasoning,high
Fs 8.3,boundary,claude_reasoning,high
LL 11,dedicatory,claude_reasoning,high
LL 2,dedicatory,claude_reasoning,high
LL 4,dedicatory,claude_reasoning,high
LL 5,dedicatory,claude_reasoning,high
LL 6,dedicatory,claude_reasoning,high
LL 8,dedicatory,claude_reasoning,high
LL 9,dedicatory,claude_reasoning,high
La 2.3,ownership,claude_reasoning,medium
Li 1.1,funerary,claude_reasoning,high
OA 2.2,ownership,claude_reasoning,high
OA 2.20,ownership,claude_reasoning,high
OA 3.9,dedicatory,claude_reasoning,high
Pe 1.219,funerary,claude_reasoning,high
Pe 1.948,funerary,claude_reasoning,high
Pe 3.1,dedicatory,claude_reasoning,high
Pe 3.3,dedicatory,claude_reasoning,high
Pe 5.2,funerary,claude_reasoning,high
Pe 8.4,legal,claude_reasoning,medium
Ru 5.1,funerary,claude_reasoning,high
Sp 2.36,ownership,claude_reasoning,medium
TCa 8,dedicatory,claude_reasoning,high
Ta 1.107,funerary,claude_reasoning,high
Ta 1.108,funerary,claude_reasoning,high
Ta 1.13,funerary,claude_reasoning,high
Ta 1.147,funerary,claude_reasoning,high
Ta 1.15,funerary,claude_reasoning,high
Ta 1.168,funerary,claude_reasoning,high
Ta 1.18,funerary,claude_reasoning,high
Ta 1.182,funerary,claude_reasoning,high
Ta 1.183,funerary,claude_reasoning,high
Ta 1.191,funerary,claude_reasoning,high
Ta 1.31,funerary,claude_reasoning,high
Ta 1.35,funerary,claude_reasoning,high
Ta 1.59,funerary,claude_reasoning,high
Ta 1.62,funerary,claude_reasoning,high
Ta 1.66,funerary,claude_reasoning,high
Ta 1.81,funerary,claude_reasoning,high
Ta 1.82,funerary,claude_reasoning,high
Ta 1.89,funerary,claude_reasoning,high
Ta 1.9,funerary,claude_reasoning,high
Ta 1.96,funerary,claude_reasoning,high
Ta 3.2,dedicatory,claude_reasoning,high
Ta 3.6,votive,claude_reasoning,high
Ta 5.5,funerary,claude_reasoning,medium
Um 1.7,funerary,claude_reasoning,medium
Vc 1.59,funerary,claude_reasoning,high
Vc 1.64,funerary,claude_reasoning,high
Vc 1.84,funerary,claude_reasoning,high
Vc 1.87,funerary,claude_reasoning,high
Vc 6.6,ownership,claude_reasoning,high
Vc 7.38,funerary,claude_reasoning,medium
Ve 3.13,ownership,claude_reasoning,high
Ve 3.2,ownership,claude_reasoning,high
Ve 3.29,dedicatory,claude_reasoning,high
Ve 6.2,ownership,claude_reasoning,high
Vn 1.1,funerary,claude_reasoning,high
Vs 1.120,funerary,claude_reasoning,high
Vs 1.178,funerary,claude_reasoning,high
Vs 1.28,funerary,claude_reasoning,high
Vs 1.45,funerary,claude_reasoning,high
Vs 1.55,funerary,claude_reasoning,high
Vs 1.85,funerary,claude_reasoning,high
Vs 1.86,funerary,claude_reasoning,high
Vs 2.40,ownership,claude_reasoning,low
Vs 4.8,votive,claude_reasoning,high
Vs 7.25,funerary,claude_reasoning,medium
Vt 1.58,funerary,claude_reasoning,high
Vt 3.1,ownership,claude_reasoning,high
Vt 4.2,dedicatory,claude_reasoning,high
Vt 4.5,dedicatory,claude_reasoning,high
Vt S.2,dedicatory,claude_reasoning,medium
