id,raw_text,canonical_transliterated,translation,silver_label_v1,silver_confidence_v1,gemini_label,gemini_confidence,gemini_rationale,llama_label,llama_confidence,llama_rationale,adjudicator_decision,adjudicator_notes
1085,arnt ziχn(i)al,arnt ziχn(i)al,,funerary,medium,unsure,high,"The inscription consists of a personal name ('arnt') and a second name in a genitival form ('ziχn(i)al'), which could be a matronymic or cognomen. The classification heavily depends on the object type and findspot, which are unknown ('source tag: other'). Without this context, the text alone could plausibly be funerary (if on an urn) or ownership (if on a portable item). Per the codebook's 'Edge cases and unsure' section, 'a single personal name with no context' must be routed to adjudication.",funerary,medium,"The inscription 'arnt ziχn(i)al' contains a personal name 'arnt' and a genitive form 'ziχn(i)al', suggesting a kinship or possessive relationship, which is common in funerary contexts. The presence of a personal name and a genitive suffix aligns with funerary inscriptions that often include the name of the deceased and their parentage or other relational information. Although the object type and findspot are not specified, the structure of the inscription leans towards a funerary context.",,
1154,miaratiaialtamenei,miaratiaialtamenei,,funerary,medium,ownership,medium,"The inscription begins with the first-person pronoun 'mi' ('I am'), which is characteristic of the Etruscan ownership formula. The following string, 'aratiaialtamenei', is parsed as a personal name in the genitive case. This structure, 'mi' + genitive name, fits the criteria for the 'ownership' class under rule #5 of the decision tree. Confidence is 'medium' rather than 'high' because the object type and findspot are unknown, but the textual evidence for ownership is strong.",unsure,low,"The inscription 'miaratiaialtamenei' is not clearly interpretable with the given transliteration. The presence of 'mi' could suggest an ownership formula, but the rest of the text is unclear and does not directly match any known Etruscan formula or vocabulary from the decision tree.",,
1431,tlesnei(alisa) cumeresa,tlesnei(alisa) cumeresa,,funerary,medium,funerary,medium,"The inscription follows a classic Etruscan funerary naming convention, combining a personal name with a gamonymic kinship formula ('-alisa', meaning 'wife of'). This structure is a primary textual feature of the 'funerary' class as defined by rule 1 of the decision tree, and is analogous to the positive example 'larθia spurinas larisal puia'. Although the object type and find-context are unknown, the linguistic evidence of the kinship formula is a strong diagnostic feature that points specifically to an epitaph over other possibilities.",unsure,low,"The inscription 'tlesnei(alisa) cumeresa' lacks clear context or a known object type, making it difficult to apply the decision tree. The text does not contain obvious funerary, ownership, or dedicatory formulas, and the source tag is 'other', indicating unknown or unspecified origin and object type.",,
14612,a(ise)ra turanuve θaia,a(ise)ra turanuve θaia,,dedicatory,medium,dedicatory,high,"The inscription contains a clear verb of giving, 'turanuve', which is a 3rd person singular preterite form indicating an act of dedication. The recipient is explicitly divine, identified by 'aisera' ('of the gods') and the goddess name 'Turan'. Following the decision tree, the presence of a verb of giving with a divine recipient (Step 2: YES) and the absence of specific votive criteria like a sanctuary findspot or vow formula (Step 3: NO) leads to the classification 'dedicatory' at Step 4.",unsure,low,"The inscription 'a(ise)ra turanuve θaia' contains a verb 'turanuve' which seems related to 'tur-' (gave), suggesting a dedicatory context. However, the text is not well-understood, and the translation is empty. Without more context or a clear understanding of the verb and the names involved, it's difficult to confidently classify it.",,
14785,ramθas tetnial,ramθas tetnial,,funerary,medium,unsure,high,"The inscription consists of a personal name formula, 'ramθas tetnial', likely a praenomen and a patronymic/gentilicium. Without any information about the object it is inscribed on or its find-context (Source tag: 'other'), it is impossible to apply the decision tree. This formula could equally be funerary (on a tomb or urn) or an ownership mark (on a portable object), and the codebook explicitly states to mark cases as 'unsure' when the text is a single personal name with no context.",funerary,medium,"The inscription 'ramθas tetnial' contains a personal name in the genitive form, which is a common feature of funerary inscriptions indicating kinship or possession. The text does not contain explicit kinship or death formulas, but the genitive construction is consistent with funerary contexts. The decision tree's first rule is not fully satisfied due to lack of explicit kinship/death formula, but the genitive form leans towards a funerary interpretation.",,
17313,apolonei,apolonei,,dedicatory,medium,unsure,high,"The inscription consists of a single word, 'apolonei', the dative form of the divine name Apollo, meaning 'to/for Apollo'. While this strongly implies a dedicatory or votive purpose, the text lacks a verb of giving (e.g., 'tur-', 'mulu-') or a specific dedicatory formula as required by decision tree rule #2. As the object type and find-context are unknown, and the text consists of a single name without further context, it falls under the 'unsure' category as per the codebook's rules for handling such cases.",dedicatory,medium,"The inscription 'apolonei' is likely a dative form indicating a dedication to Apollo. The absence of a verb of giving (tur-, mulu-, cer-) or other context makes the classification not entirely certain, but the dative form suggests a dedicatory context. The decision tree branch for dedicatory inscriptions is relevant here.",,
17323,hereklei,hereklei,,dedicatory,medium,unsure,high,"The inscription consists of a single word, 'hereklei', which is the dative form of the name Heracles, meaning 'to/for Heracles'. While this strongly implies a dedication to a deity, it fails to meet the specific criteria of the decision tree. Step 2 requires a verb of giving ('tur-', 'mulu-') or a specific dedicatory formula ('cana', etc.) in addition to the recipient. This text contains only the recipient. Per the codebook's section on 'Edge cases and unsure', an inscription with a single personal name and no context must be marked 'unsure'.",dedicatory,medium,"The inscription 'hereklei' is likely a dative form of the name 'Hercle' (Etruscan form of Hercules), suggesting a dedicatory context. The presence of a theonym in the dative case is a common feature of dedicatory inscriptions. Although the verb is missing, the text implies a gift or dedication to the deity.",,
20405,mi(nvcii),mi(nvcii),,ownership,medium,ownership,high,"The inscription follows the classic Etruscan ownership formula 'mi' + a personal name in the genitive case ('minucii'), meaning 'I am of Minucius'. This pattern is a direct match for branch 5 of the decision tree and is explicitly listed as a positive example for the 'ownership' class in the codebook.",unsure,low,"The inscription 'mi(nvcii)' is too fragmentary and lacks clear context or recognizable Etruscan formula. The presence of 'mi' could suggest an ownership formula, but without further context or a recognizable name, it's impossible to be certain. The text does not clearly fit into any of the defined categories.",,
208,prumaθnal,prumaθnal,,funerary,medium,unsure,high,"The inscription consists of a single word, 'prumaθnal', likely a personal name in a genitive or adjectival form ('of Prumaθna'). The provided metadata ('source tag: other') indicates the object type and find-context are unknown. Without any discriminating formula (e.g., kinship terms for 'funerary', the word 'mi' for 'ownership', a verb of giving for 'dedicatory'), the text alone is insufficient to pass any test in the decision tree (1-8). This case directly matches the codebook's primary example for an 'unsure' classification: 'a single personal name with no context'.",funerary,medium,"The inscription 'prumaθnal' is likely a genitive form indicating a kinship or familial relationship, which is common in funerary contexts. The absence of a verb or explicit dedicatory formula and the presence of a genitive suffix suggest a funerary context, possibly indicating the deceased's lineage or family connection.",,
2171,l(ar)θ veti(al),l(ar)θ veti(al),,funerary,medium,unsure,high,"The inscription consists solely of a personal name, 'l(ar)θ veti(al)', with no additional formulaic language (e.g., a verb of giving, a possession marker like 'mi') to disambiguate its function. Crucially, the object type and find-context are unknown ('Source tag: other'), making it impossible to apply the context-dependent rules of the decision tree (e.g., for 'funerary' or 'boundary'). Per the codebook's 'Edge cases and unsure' section, an inscription that is 'a single personal name with no context' must be routed to adjudication.",funerary,medium,"The inscription 'l(ar)θ veti(al)' is likely funerary due to the presence of a personal name with a patronymic, which is a common formula in Etruscan funerary inscriptions. The text matches the pattern seen in funerary contexts, although the object type and findspot are not specified.",,
2403,selvans(ia)l,selvans(ia)l,,dedicatory,high,boundary,medium,"The inscription consists of a single word, the name of the Etruscan god of boundaries, Selvans, in a genitive/locative case (`selvansl`). According to decision tree rule 6, the name of the specific deity for boundaries is considered 'equivalent boundary-vocabulary' to the explicit term 'tular'. The function is almost certainly to mark a boundary or area placed under the god's protection. Confidence is 'medium' rather than 'high' because the object type and find-context are unknown, and the interpretation relies on the theonym alone.",unsure,low,"The inscription 'selvans(ia)l' is a single genitive form likely referring to a personal name or a deity. Without context or additional information about the object it is inscribed on or its findspot, it is difficult to determine its epigraphic type. The text alone is insufficient to confidently classify it into one of the seven categories.",,
3075,pilunice lautni(al),pilunice lautni(al),,funerary,high,dedicatory,medium,"The inscription contains the word 'pilunice', which displays the common 3rd person preterite active verbal ending '-ce' (cf. 'turce', 'muluvanice'). This ending strongly indicates an act of giving or dedicating. Following the decision tree, the presence of a verb of giving (Rule 2) without evidence of a sanctuary context or vow formula (Rule 3) leads to a 'dedicatory' classification (Rule 4). The name 'lautni(al)' likely identifies the donor or recipient family in the genitive case.",funerary,high,"The inscription 'pilunice lautni(al)' contains the term 'lautni', which is associated with 'freedman' status, a common funerary context. The presence of a personal name and a status indicator suggests a funerary context, as it likely identifies the deceased and their social status. This matches the decision tree's first branch for funerary inscriptions.",,
5037,suθi,suθi,,funerary,high,unsure,high,"The inscription consists of the single word 'suθi' ('tomb'), which is insufficient for a definitive classification. While the vocabulary is funerary, the text lacks the personal name and kinship/death formula required by Rule 1 of the decision tree. Lacking information on the object type or findspot, and with no other diagnostic words, the inscription must be marked 'unsure' as per the codebook's guidelines for single-word texts without determinative context.",funerary,medium,"The term 'suθi' is associated with funerary contexts, as it relates to 'tomb' or 'burial'. The decision tree's first step checks for tomb or grave-good context with personal name and kinship/death formula; while 'suθi' alone doesn't contain a personal name or kinship formula, it is strongly linked to funerary inscriptions. The object type and find context are unknown, but the term itself leans towards a funerary classification.",,
5092,lupuce,lupuce,,funerary,high,funerary,medium,"The inscription consists of the single word 'lupuce', which is a standard and widely-attested Etruscan verb meaning 'is dead' or 'has ceased to be'. This term functions as a 'death formula' which directly triggers Rule 1 of the decision tree. Although information about the object or findspot is missing, the verb itself is so specifically and exclusively sepulchral in its usage that a 'funerary' classification is warranted based on the text alone. Confidence is 'medium' rather than 'high' due to the absence of corroborating object-type evidence.",dedicatory,medium,"The verb 'lupuce' is a verb of giving or dedicating, similar to 'tur-' or 'mulu-', which are characteristic of dedicatory inscriptions. Although the recipient is not specified, the presence of this verb suggests a dedicatory context. The decision tree (rule 2) supports this classification.",,
5237,tuθiu χimθm casθ(n)ialθ lacθ,tuθiu χimθm casθ(n)ialθ lacθ,,dedicatory,medium,funerary,high,"The inscription contains explicit funerary vocabulary, namely `χimθm` ('tomb') and `lacθ` ('in the grave/loculus'), alongside the personal name of the deceased, `casθ(n)ialθ`. This combination directly satisfies rule 1 of the decision tree, identifying the text's purpose as marking a burial site. The funerary context is textually explicit and primary.",unsure,low,"The inscription 'tuθiu χimθm casθ(n)ialθ lacθ' lacks clear context or a known translation, making it difficult to apply the decision tree with confidence. The text does not contain recognizable Etruscan formulas or verbs that would guide classification into one of the defined categories. Without further information on the object or findspot, classification remains uncertain.",,
5423,tenθas avil,tenθas avil,,funerary,high,funerary,high,"The inscription contains the word 'avil' ('year'), a core component of the age-at-death formula exclusively found in Etruscan epitaphs. This element, combined with the personal name in the genitive case ('tenθas'), strongly indicates a funerary context. This matches the first rule of the decision tree, which identifies inscriptions with a personal name and a kinship/death formula as funerary.",unsure,low,The inscription 'tenθas avil' lacks sufficient context to determine its epigraphic type. The text is too short and does not contain a discriminating verb or formula that would allow classification into one of the defined categories. The decision tree cannot be applied confidently with the available information.,,
5430,amce,amce,,legal,high,unsure,high,"The inscription consists of a single word, 'amce' ('was'), with no provided object type or find-context. This lack of information prevents a definitive classification using the decision tree. The word does not match any of the primary formulas (funerary, ownership, boundary, etc.), and while it is a verb, it cannot be classified as dedicatory or votive without a subject, object, or recipient. Per the codebook, inscriptions that are short, lack context, and permit multiple readings must be marked 'unsure'.",dedicatory,medium,"The verb 'amce' is a variant of 'ame', which is a dedicatory formula. Although the text is short and lacks context, the presence of this verb suggests a dedicatory function. The decision tree branch for dedicatory inscriptions (rule 2) is triggered.",,
5511,cuclnies la(utni),cuclnies la(utni),,funerary,medium,unsure,high,"The inscription contains a personal name (`cuclnies`) and a status formula (`lautni`, 'freedman/woman'), which is very common in funerary contexts. However, the codebook requires information about the object (e.g., tomb, urn) or findspot to apply Rule 1 for a `funerary` classification. Without this context, and with no other discriminating features like verbs of giving (Rule 2) or ownership formulas (Rule 5), the inscription cannot be confidently classified and must be routed to adjudication as per the codebook's edge case rules.",ownership,medium,"The inscription 'cuclnies la(utni)' contains a personal name in the genitive form, suggesting possession or relation. The absence of a verb or explicit dedicatory formula and the presence of a genitive personal name aligns with the 'ownership' category, particularly for objects with maker marks or possessive identifiers.",,
6844,it--nturuc----------------------------------------s--,it--nturuc----------------------------------------s--,,dedicatory,medium,dedicatory,medium,"The inscription is highly fragmentary but contains the recognizable verb stem 'turuc-', from 'turuce' ('he/she gave'). According to the decision tree (rule 2), the presence of a verb of giving points toward a dedicatory or votive text. With no evidence for a votive context (rule 3), the inscription is best classified as dedicatory (rule 4), as the verb is the most discriminating feature present.",unsure,low,"The inscription is heavily fragmentary with an intact-token ratio < 0.5, making it impossible to confidently apply the decision tree. The visible portion does not contain a discriminating verb or formula.",,
7045,calisne puial{--------},calisne puial{--------},,funerary,medium,funerary,medium,"The inscription contains the word 'puial', the genitive form of 'puia' (wife). This kinship term is a primary diagnostic feature of funerary epitaphs, as specified in the positive examples for the 'funerary' class in the codebook (e.g., 'larθia spurinas larisal puia'). This satisfies rule 1 of the decision tree on textual grounds. Confidence is medium, not high, because the object type and find-context are unknown, which are key corroborating features for a high-confidence funerary classification.",unsure,low,"The inscription 'calisne puial{--------}' is heavily fragmentary, with a significant portion of the text missing or illegible. The visible portion contains a personal name and a kinship term 'puial', which could suggest a funerary context, but the lack of additional context or a clear formula makes it difficult to determine the epigraphic type with certainty.",,
7770,------svalce------,------svalce------,,funerary,high,funerary,medium,"The inscription is fragmentary but contains the verb 'svalce' ('lived'), which is a diagnostic keyword for a death formula in Etruscan epitaphs, indicating the lifespan of the deceased. This directly triggers the 'death formula' condition of Rule 1. While the personal name and object context are missing due to the fragmentation, the presence of this specific verb is exceptionally strong evidence for a funerary context and fails all subsequent tests in the decision tree.",unsure,low,The inscription is heavily fragmentary with only the verb 'svalce' (lived) partially visible. The decision tree cannot be applied confidently due to the lack of context and intact tokens. The visible portion does not contain a discriminating verb or formula that would allow for a classification into one of the seven epigraphic types.,,
7803,atial zilcti,atial zilcti,,funerary,high,legal,medium,"The classification is based on the presence of 'zilcti', the locative form of the magistracy title 'zilc' (praetor). This phrase, 'atial zilcti', functions as a dating formula ('in the praetorship of Ati'), which is characteristic of official decrees or legal contracts. This aligns with decision tree rule #7, which identifies inscriptions with legal vocabulary. While the text is short and lacks object context, this specific title is a strong indicator of a legal or public document.",funerary,medium,"The inscription 'atial zilcti' contains the term 'zilcti', which is related to a magistracy or office, and 'atial', which could be a kinship term or personal name. The presence of a personal name or kinship term along with a title or office is consistent with funerary inscriptions that often include the name and status of the deceased. The decision tree's first branch is the most relevant, as it deals with tomb or grave-good inscriptions naming the deceased.",,
7868,micavaθa--,micavaθa--,,dedicatory,medium,ownership,medium,"The inscription follows the classic 'mi' + genitive personal name formula ('micavaθa'), meaning 'I am of Cavaθa.' This pattern is a primary positive indicator for the 'ownership' class under step 5 of the decision tree. The confidence is 'medium' rather than 'high' because the object type and find-context are unknown, which could theoretically alter the classification (e.g., if it were on a tomb wall, it would be funerary).",unsure,low,"The inscription 'micavaθa--' is fragmentary and lacks clear context or a complete formula that matches any of the defined epigraphic types. The presence of 'mi' could suggest an ownership or dedicatory formula, but without further context or a verb, it's impossible to determine the label with confidence.",,
8332,mecio a(vloi) (f(ileo)),mecio a(vloi) (f(ileo)),,funerary,medium,funerary,high,"The inscription follows a standard funerary formula, consisting of a personal name ('mecio') followed by a patronymic and filiation marker ('a(vloi) (f(ileo))' for 'son of Avle'). This structure directly matches the criteria in rule 1 of the decision tree and the provided positive examples for the funerary class.",unsure,low,"The inscription 'mecio a(vloi) (f(ileo))' lacks clear context or a verb that could help determine its epigraphic type. The text appears to be a personal name with abbreviations, but without a clear formula or find context, it's difficult to assign a label with confidence. The decision tree cannot be applied effectively due to insufficient information.",,
873,svdernia ar(rvntis),svdernia ar(rvntis),,funerary,medium,funerary,medium,"The inscription follows the classic Etruscan onomastic formula of a personal name ('svdernia') followed by a patronymic in the genitive case ('ar(rvntis)', meaning 'of Arruns'). This structure, which identifies an individual through their parentage, is highly characteristic of funerary epitaphs. Although the object type and find-context are unknown, the presence of a kinship formula strongly suggests a funerary purpose according to decision tree rule #1.",unsure,low,"The inscription 'svdernia ar(rvntis)' lacks sufficient context to determine its epigraphic type. The text is a personal name in the genitive case, but there is no clear indication of the object's type, findspot, or any formula that would tie it to a specific category. Without more information, it's impossible to confidently classify it.",,
8927,alpan vesias,alpan vesias,,votive,high,unsure,high,"The inscription 'alpan vesias' lacks sufficient context for a definitive classification. The object type and findspot are unknown, which is a primary reason to classify as unsure. While 'alpan' is often interpreted as a dedicatory term (""gift"") and 'vesias' is a personal genitive (""of Vesia""), 'alpan' is not one of the specific verbs or formulas listed under rule 2 of the decision tree. The text fails all other specific tests for funerary, ownership, boundary, legal, and commercial inscriptions, leading to the final 'unsure' branch.",dedicatory,medium,"The inscription 'alpan vesias' contains the word 'alpan', which can be related to gift-giving or dedicatory contexts. Although the decision tree does not directly mention 'alpan', the presence of a personal name 'vesias' in the genitive form suggests a possible dedicatory or ownership context. Given the lack of explicit funerary or ownership formulas, and considering the potential dedicatory context, the label 'dedicatory' is chosen.",,
